gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
RNF126,ENSG00000070423,55658,Q9BV68,RING,RING,38.78,57.3,Plasmablast,B-cells,0.5859,0.3344,0.6425,1.1491
ASB6,ENSG00000148331,140459,Q9NWX5,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),35.94,53.3,NK-cell,NK-cells,0.5914,0.3369,0.2962,1.1483
CUL9,ENSG00000112659,23113,Q8IWT3,RBR,RING-between-RING,8.3133,13.6,naive CD8 T-cell,T-cells,0.735,0.4021,0.4546,1.1433
BRAP,ENSG00000089234,8315,Q7Z569,RING,RING,56.8967,82.5,neutrophil,granulocytes,0.5578,0.321,0.2447,1.1432
MID1,ENSG00000101871,4281,O15344,RING,RING,0.6767,1.7,basophil,granulocytes,1.2797,0.6227,0.7149,1.1419
FBXO9,ENSG00000112146,26268,Q9UK97,CRL1,CRL1 substrate receptor (F-box protein),40.9867,60.3,classical monocyte,monocytes,0.5795,0.3313,0.2908,1.14
HUWE1,ENSG00000086758,10075,Q7Z6Z7,HECT,HECT E3 ligase,45.9067,67.1,MAIT T-cell,T-cells,0.5697,0.3267,0.348,1.1336
KLHL41,ENSG00000239474,10324,O60662,CRL3,CRL3 substrate receptor (BTB protein),0.0567,0.5,Memory CD4 T-cell TFH,T-cells,2.0854,0.9172,0.7357,1.1189
VHL,ENSG00000134086,7428,P40337,CRL2,CRL2 substrate receptor (BC-CUL2-box),17.78,27.3,Non-switched memory B-cell,B-cells,0.6426,0.3607,0.3087,1.1179
VPS11,ENSG00000160695,55823,Q9H270,RING,RING,37.58,55.3,non-classical monocyte,monocytes,0.5797,0.3315,0.4286,1.1174
UBR3,ENSG00000144357,130507,Q6ZT12,RING,RING,7.6933,12.6,neutrophil,granulocytes,0.7362,0.4028,0.3727,1.1167
RNF31,ENSG00000092098,55072,Q96EP0,RBR,RING-between-RING,8.45,13.7,MAIT T-cell,T-cells,0.7215,0.3964,0.449,1.1092
ECT2L,ENSG00000203734,345930,Q008S8,CRL1,CRL1 substrate receptor (F-box protein),0.6333,1.6,basophil,granulocytes,1.2801,0.625,0.7481,1.1029
HECTD1,ENSG00000092148,25831,Q9ULT8,HECT,HECT E3 ligase,17.79,27.2,Central memory CD8 T-cell,T-cells,0.6362,0.3579,0.4436,1.0968
APPBP2,ENSG00000062725,10513,Q92624,CRL2,CRL2 substrate receptor (BC-CUL2-box),24.76,37.1,Terminal effector memory CD4 T-cell,T-cells,0.6064,0.3441,0.3261,1.0958
RNF139,ENSG00000170881,11236,Q8WU17,RING,RING,62.8867,90.0,Vd2 gdTCR,T-cells,0.5381,0.3116,0.4203,1.0913
DCAF1,ENSG00000145041,9730,Q9Y4B6,CRL4,CRL4 substrate receptor (DDB1-binding protein),32.47,47.9,Memory CD4 T-cell Th17,T-cells,0.5833,0.3332,0.7128,1.0907
RNF25,ENSG00000163481,64320,Q96BH1,RING,RING,29.27,43.4,basophil,granulocytes,0.5908,0.3368,0.2818,1.0889
BRWD1,ENSG00000185658,54014,Q9NSI6,CRL4,CRL4 substrate receptor (DDB1-binding protein),66.1333,94.3,T-reg,T-cells,0.5325,0.309,0.3838,1.0818
ARIH1,ENSG00000166233,25820,Q9Y4X5,RBR,"RING-between-RING, Ubl E3",4.9467,8.4,neutrophil,granulocytes,0.7866,0.4253,0.3714,1.0814
TRIM4,ENSG00000146833,89122,Q9C037,RING,RING,72.1133,102.1,naive CD4 T-cell,T-cells,0.5219,0.3038,0.3591,1.0604
