gene,ensembl,gene_id,uniprot,e3_type,protein_class,mean_ntpm,max_ntpm,max_cell,max_lineage,log2_fc_vs_rest,tau,sd_log2,enrichment_score
RNF145,ENSG00000145860,153830,Q96MT1,RING,RING,17.0733,51.5,neutrophil,granulocytes,1.6905,0.6915,0.4689,6.6803
RNF182,ENSG00000180537,221687,Q8N6D2,RING,RING,0.6733,4.8,naive B-cell,B-cells,2.957,0.8894,1.9417,6.6694
DTX3,ENSG00000178498,196403,Q8N9I9,RING,RING,8.68,29.1,Vd2 gdTCR,T-cells,1.8543,0.7259,2.1742,6.6114
ZNRF2,ENSG00000180233,223082,Q8NHG8,RING,RING,5.4833,20.1,plasmacytoid DC,dendritic cells,1.9917,0.7523,0.5435,6.5911
TRAF5,ENSG00000082512,7188,O00463,RING,RING,66.2533,166.7,Non-switched memory B-cell,B-cells,1.4072,0.6233,1.8875,6.4821
TBL1XR1,ENSG00000177565,79718,Q9BZK7,CRL4,CRL4 substrate receptor (DDB1-binding protein),68.17,171.0,plasmacytoid DC,dendritic cells,1.4025,0.6221,0.3884,6.479
FBXO33,ENSG00000165355,254170,Q7Z6M2,CRL1,CRL1 substrate receptor (F-box protein),21.79,62.0,neutrophil,granulocytes,1.5987,0.6709,0.5217,6.4113
TRIM69,ENSG00000185880,140691,Q86WT6,RING,RING,2.46,10.7,Plasmablast,B-cells,2.2465,0.7966,1.5636,6.3507
UBR5,ENSG00000104517,51366,O95071,HECT,HECT E3 ligase,30.7333,83.2,Plasmablast,B-cells,1.5211,0.6524,0.4386,6.3463
KBTBD8,ENSG00000163376,84541,Q8NFY9,CRL3,CRL3 substrate receptor (BTB protein),13.82,41.7,naive B-cell,B-cells,1.6896,0.6916,1.1648,6.3293
LONRF1,ENSG00000154359,91694,Q17RB8,RING,RING,1.8133,8.6,basophil,granulocytes,2.3731,0.8164,1.5294,6.3216
TRIM49,ENSG00000168930,57093,P0CI25,RING,RING,0.06,1.8,basophil,granulocytes,4.2479,1.0,0.7625,6.31
TRIM49C,ENSG00000204449,642612,P0CI26,RING,RING,0.06,1.8,basophil,granulocytes,4.2479,1.0,0.7625,6.31
FBXL8,ENSG00000135722,55336,Q96CD0,CRL1,CRL1 substrate receptor (F-box protein),18.49,53.3,Memory CD4 T-cell Th17,T-cells,1.6186,0.6756,0.911,6.3021
KLHL31,ENSG00000124743,401265,Q9H511,CRL3,CRL3 substrate receptor (BTB protein),0.13,2.2,Progenitor cell,Progenitors,3.858,0.9734,1.0201,6.3015
RNF144A,ENSG00000151692,9781,P50876,RBR,RING-between-RING,12.8933,39.2,naive CD4 T-cell,T-cells,1.7012,0.6942,1.7172,6.2937
KCTD21,ENSG00000188997,283219,Q4G0X4,CRL3,CRL3 substrate receptor (BTB protein),11.2267,34.8,neutrophil,granulocytes,1.7309,0.7008,0.7592,6.2612
HLTF,ENSG00000071794,6596,Q14527,RING,RING,15.0367,44.4,Progenitor cell,Progenitors,1.6556,0.6841,1.5042,6.235
CHFR,ENSG00000072609,55743,Q96EP1,RING,RING,85.2533,204.7,neutrophil,granulocytes,1.3341,0.6036,0.4416,6.1882
KLHL18,ENSG00000114648,23276,O94889,CRL3,CRL3 substrate receptor (BTB protein),17.7433,50.8,non-classical monocyte,monocytes,1.6075,0.6732,0.6513,6.1625
RNF44,ENSG00000146083,22838,Q7L0R7,RING,RING,24.2333,66.2,neutrophil,granulocytes,1.5345,0.6558,0.6472,6.1089
TRIM33,ENSG00000197323,51592,Q9UPN9,RING,RING,20.9833,58.2,basophil,granulocytes,1.558,0.6615,0.4863,6.0679
RNF166,ENSG00000158717,115992,Q96A37,RING,RING,190.77,424.2,Terminal effector memory CD4 T-cell,T-cells,1.2147,0.5693,1.1254,6.0378
FBXO38,ENSG00000145868,81545,Q6PIJ6,CRL1,CRL1 substrate receptor (F-box protein),32.21,84.1,neutrophil,granulocytes,1.464,0.6383,0.3718,5.9909
RCHY1,ENSG00000163743,25898,Q96PM5,RING,RING,36.9733,94.4,basophil,granulocytes,1.4291,0.6293,0.3985,5.9141
ABTB3,ENSG00000151136,121551,A6QL63,CRL3,CRL3 substrate receptor (BTB protein),6.25,20.8,MAIT T-cell,T-cells,1.8374,0.7236,1.8104,5.9119
RNF11,ENSG00000123091,26994,Q9Y3C5,RING,RING,35.3633,90.6,neutrophil,granulocytes,1.4344,0.6307,0.6223,5.8961
AREL1,ENSG00000119682,9870,O15033,HECT,HECT E3 ligase,21.4533,58.1,neutrophil,granulocytes,1.5203,0.6525,0.5541,5.8379
PRKN,ENSG00000185345,5071,O60260,RBR,"RING-between-RING, Ubl E3",1.8567,8.2,naive CD4 T-cell,T-cells,2.2557,0.8003,1.7583,5.7795
TRIM8,ENSG00000171206,81603,Q9BZR9,RING,RING,22.1567,59.4,neutrophil,granulocytes,1.5044,0.6486,0.4577,5.7731
RNF39,ENSG00000204618,80352,Q9H2S5,RING,RING,0.3233,2.9,neutrophil,granulocytes,3.165,0.9191,1.2587,5.7118
TRIM55,ENSG00000147573,84675,Q9BYV6,RING,RING,0.07,1.7,Plasmablast,B-cells,3.9835,0.9919,0.8302,5.6619
SKP2,ENSG00000145604,6502,Q13309,CRL1,CRL1 substrate receptor (F-box protein),22.4433,59.3,basophil,granulocytes,1.4815,0.643,0.4568,5.6334
TRIM74,ENSG00000155428,378108,Q86UV6,RING,RING,1.9433,8.3,Progenitor cell,Progenitors,2.2032,0.7923,1.1514,5.6157
KLHL7,ENSG00000122550,55975,Q8IXQ5,CRL3,CRL3 substrate receptor (BTB protein),26.6,68.3,basophil,granulocytes,1.437,0.6316,0.4358,5.5499
CCNF,ENSG00000162063,899,P41002,CRL1,CRL1 substrate receptor (F-box protein),4.2433,14.7,Plasmablast,B-cells,1.8938,0.7359,1.2293,5.5362
RNF169,ENSG00000166439,254225,Q8NCN4,RING,RING,7.59,23.3,neutrophil,granulocytes,1.7108,0.6975,0.5395,5.4927
RBBP5,ENSG00000117222,5929,Q15291,CRL4,CRL4 substrate receptor (DDB1-binding protein),41.0667,99.9,basophil,granulocytes,1.3534,0.6092,0.3556,5.4886
MARCHF10,ENSG00000173838,162333,Q8NA82,RING,RING,0.19,2.2,Plasmablast,B-cells,3.3815,0.9451,1.0663,5.3632
MNAT1,ENSG00000020426,4331,P51948,RING,RING,26.5433,66.7,plasmacytoid DC,dendritic cells,1.4031,0.6228,0.9614,5.3139
TRAF3,ENSG00000131323,7187,Q13114,RING,RING,19.1533,50.1,Switched memory B-cell,B-cells,1.4648,0.639,0.8364,5.3122
TRIM75,ENSG00000250374,391714,A6NK02,RING,RING,0.05,1.5,Terminal effector memory CD4 T-cell,T-cells,4.0,1.0,0.718,5.2877
ANKIB1,ENSG00000001629,54467,Q9P2G1,RBR,RING-between-RING,15.1167,40.6,Plasmablast,B-cells,1.5052,0.6493,0.4162,5.2566
BIRC2,ENSG00000110330,329,Q13490,RING,RING,89.29,198.1,basophil,granulocytes,1.2106,0.5682,0.4502,5.2537
DCAF12,ENSG00000198876,25853,Q5T6F0,CRL4,CRL4 substrate receptor (DDB1-binding protein),80.6067,180.1,naive B-cell,B-cells,1.2215,0.5715,0.7256,5.236
RNF146,ENSG00000118518,81847,Q9NTX7,RING,RING,72.95,163.4,neutrophil,granulocytes,1.2253,0.5726,0.4925,5.1649
NEURL2,ENSG00000124257,140825,Q9BR09,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),2.7867,10.2,Progenitor cell,Progenitors,1.9689,0.7519,1.0746,5.1597
RNF150,ENSG00000170153,57484,Q9ULK6,RING,RING,0.0767,1.6,Progenitor cell,Progenitors,3.7755,0.9849,0.8583,5.1261
RNF167,ENSG00000108523,26001,Q9H6Y7,RING,RING,172.9867,361.4,neutrophil,granulocytes,1.1177,0.5393,0.3999,5.1246
RNF121,ENSG00000137522,55298,Q9H920,RING,RING,15.5767,41.1,plasmacytoid DC,dendritic cells,1.4774,0.6424,0.6064,5.1211
TRIM46,ENSG00000163462,80128,Q7Z4K8,RING,RING,4.24,14.0,Memory CD4 T-cell Th17,T-cells,1.8164,0.7212,1.4615,5.1178
FBXO6,ENSG00000116663,26270,Q9NRD1,CRL1,CRL1 substrate receptor (F-box protein),47.55,110.0,neutrophil,granulocytes,1.275,0.5873,1.024,5.0877
CCNB1IP1,ENSG00000100814,57820,Q9NPC3,RING,RING,33.9867,81.3,Progenitor cell,Progenitors,1.3266,0.602,1.1447,5.0816
TRIP12,ENSG00000153827,9320,Q14669,HECT,HECT E3 ligase,53.94,123.1,neutrophil,granulocytes,1.254,0.5812,0.3332,5.0692
RNFT2,ENSG00000135119,84900,Q96EX2,RING,RING,5.0667,16.0,Plasmablast,B-cells,1.7491,0.7069,0.6287,5.0538
RNF185,ENSG00000138942,91445,Q96GF1,RING,RING,37.8667,89.3,neutrophil,granulocytes,1.3046,0.5958,0.3685,5.0498
AMFR,ENSG00000159461,267,Q9UKV5,RING,RING,17.4867,45.1,Non-switched memory B-cell,B-cells,1.4421,0.6334,0.599,5.0482
RNF168,ENSG00000163961,165918,Q8IYW5,RING,RING,58.6433,131.6,basophil,granulocytes,1.2279,0.5735,0.4156,4.9653
RNF207,ENSG00000158286,388591,Q6ZRF8,RING,RING,0.7,3.9,non-classical monocyte,monocytes,2.5361,0.8488,1.5978,4.9355
KLHL3,ENSG00000146021,26249,Q9UH77,CRL3,CRL3 substrate receptor (BTB protein),5.24,16.2,naive CD8 T-cell,T-cells,1.7159,0.6999,1.7561,4.9288
TOR1AIP2,ENSG00000169905,163590,Q8NFQ8,CRL4,CRL4 substrate receptor (DDB1-binding protein),28.6667,68.8,neutrophil,granulocytes,1.3312,0.6034,0.3608,4.9205
HERC1,ENSG00000103657,8925,Q15751,HECT,HECT E3 ligase,67.1933,147.5,basophil,granulocytes,1.1938,0.5632,0.4789,4.8507
RNF111,ENSG00000157450,54778,Q6ZNA4,RING,RING,47.45,107.3,neutrophil,granulocytes,1.2395,0.577,0.4383,4.834
KLHL34,ENSG00000185915,257240,Q8N239,CRL3,CRL3 substrate receptor (BTB protein),0.63,3.6,naive CD4 T-cell,T-cells,2.5596,0.8534,1.7747,4.8095
DCAF13,ENSG00000164934,25879,Q9NV06,CRL4,CRL4 substrate receptor (DDB1-binding protein),84.6667,181.5,Plasmablast,B-cells,1.1572,0.5519,0.9136,4.7975
MID2,ENSG00000080561,11043,Q9UJV3,RING,RING,3.3933,11.3,naive CD4 T-cell,T-cells,1.8236,0.7238,2.5672,4.7791
ZYG11B,ENSG00000162378,79699,Q9C0D3,CRL2,CRL2 substrate receptor (BC-CUL2-box),10.94,29.2,neutrophil,granulocytes,1.4929,0.6469,0.4696,4.7481
FBXO40,ENSG00000163833,51725,Q9UH90,CRL1,CRL1 substrate receptor (F-box protein),0.7033,3.8,neutrophil,granulocytes,2.4852,0.843,0.8277,4.7411
NFX1,ENSG00000086102,4799,Q12986,RING,RING,66.8567,144.7,plasmacytoid DC,dendritic cells,1.1718,0.5565,0.4809,4.6867
LRR1,ENSG00000165501,122769,Q96L50,CRL2,"CRL2 substrate receptor (BC-CUL2-box), CRL5 substrate receptor (BC-CUL5-box)",14.0833,36.0,Plasmablast,B-cells,1.4268,0.6298,0.6289,4.6811
FBXW7,ENSG00000109670,55294,Q969H0,CRL1,CRL1 substrate receptor (F-box protein),27.3267,64.4,Plasmablast,B-cells,1.3026,0.5955,0.5433,4.6785
WIPI2,ENSG00000157954,26100,Q9Y4P8,CRL4,CRL4 substrate receptor (DDB1-binding protein),34.7767,79.8,neutrophil,granulocytes,1.2616,0.5837,0.3225,4.6658
FBXL2,ENSG00000153558,25827,Q9UKC9,CRL1,CRL1 substrate receptor (F-box protein),1.59,6.3,neutrophil,granulocytes,2.0668,0.7734,0.5683,4.5843
RABGEF1,ENSG00000154710,27342,Q9UJ41,atypical,Atypical E3 (A20-type zinc finger),41.2333,92.2,neutrophil,granulocytes,1.2217,0.5718,0.422,4.5706
SH3RF3,ENSG00000172985,344558,Q8TEJ3,RING,RING,0.43,2.8,naive CD8 T-cell,T-cells,2.6936,0.8756,1.5399,4.5426
TRIM27,ENSG00000204713,5987,P14373,RING,RING,26.1367,60.8,non-classical monocyte,monocytes,1.2821,0.5898,0.5481,4.4989
ANKFY1,ENSG00000185722,51479,Q9P2R3,CRL3,CRL3 substrate receptor (BTB protein),29.5567,67.8,neutrophil,granulocytes,1.2607,0.5835,0.5426,4.4905
FBXL3,ENSG00000005812,26224,Q9UKT7,CRL1,CRL1 substrate receptor (F-box protein),35.26,79.4,basophil,granulocytes,1.2323,0.5751,0.4339,4.4854
MAP3K1,ENSG00000095015,4214,Q13233,RING,RING,43.5867,96.0,non-classical monocyte,monocytes,1.1983,0.5648,1.0316,4.4668
FBXO7,ENSG00000100225,25793,Q9Y3I1,CRL1,CRL1 substrate receptor (F-box protein),216.95,423.5,Progenitor cell,Progenitors,1.0128,0.5045,0.496,4.4609
FBXO32,ENSG00000156804,114907,Q969P5,CRL1,CRL1 substrate receptor (F-box protein),8.0533,21.8,naive CD8 T-cell,T-cells,1.5119,0.6523,1.5872,4.4489
RNF214,ENSG00000167257,257160,Q8ND24,RING,RING,27.9467,64.1,Memory CD4 T-cell Th2,T-cells,1.2603,0.5835,0.7659,4.4303
FBXO16,ENSG00000214050,157574,Q8IX29,CRL1,CRL1 substrate receptor (F-box protein),2.41,8.3,Plasmablast,B-cells,1.8644,0.7341,1.1404,4.4034
KLHL32,ENSG00000186231,114792,Q96NJ5,CRL3,CRL3 substrate receptor (BTB protein),3.2467,10.4,naive CD4 T-cell,T-cells,1.76,0.7115,2.0418,4.3969
ARMC5,ENSG00000140691,79798,Q96C12,CRL3,CRL3 substrate receptor (BTB protein),18.5167,44.3,plasmacytoid DC,dendritic cells,1.3246,0.6021,0.6108,4.3874
NHLRC1,ENSG00000187566,378884,Q6VVB1,RING,RING,2.0867,7.4,myeloid DC,dendritic cells,1.9044,0.7428,1.0945,4.3432
RNFT1,ENSG00000189050,51136,Q5M7Z0,RING,RING,46.7033,100.6,basophil,granulocytes,1.1638,0.5542,0.3902,4.3003
TRIM34,ENSG00000258659,53840,Q9BYJ4,RING,RING,47.2,101.5,classical monocyte,monocytes,1.1613,0.5534,0.8303,4.2927
KCTD11,ENSG00000213859,147040,Q693B1,CRL3,CRL3 substrate receptor (BTB protein),10.5867,26.8,intermediate monocyte,monocytes,1.4093,0.6258,1.0939,4.231
PIAS3,ENSG00000131788,10401,Q9Y6X2,degenerate RING,"Degenerate RING (SP-RING), SUMO E3",30.16,67.2,plasmacytoid DC,dendritic cells,1.2154,0.5702,0.523,4.2217
CBLB,ENSG00000114423,868,Q13191,RING,RING,45.1733,96.5,MAIT T-cell,T-cells,1.1509,0.5502,1.071,4.1841
TRIM38,ENSG00000112343,10475,O00635,RING,RING,48.9633,103.6,neutrophil,granulocytes,1.1362,0.5456,0.6065,4.1585
VPS41,ENSG00000006715,27072,P49754,RING,RING,93.7767,187.6,neutrophil,granulocytes,1.0502,0.5174,0.455,4.1072
RNF32,ENSG00000105982,140545,Q9H0A6,RING,RING,3.0367,9.5,Non-switched memory B-cell,B-cells,1.7201,0.7038,1.2318,4.1069
BTBD9,ENSG00000183826,114781,Q96Q07,CRL3,CRL3 substrate receptor (BTB protein),23.33,51.7,basophil,granulocytes,1.2061,0.5677,0.6796,3.9162
FBXW9,ENSG00000132004,84261,Q5XUX1,CRL1,CRL1 substrate receptor (F-box protein),7.2033,18.5,Plasmablast,B-cells,1.4278,0.6317,1.3844,3.865
CBLL1,ENSG00000105879,79872,Q75N03,RING,RING,101.7567,197.6,Memory CD4 T-cell Th17,T-cells,1.0044,0.5018,0.5298,3.847
MARCHF11,ENSG00000183654,441061,A6NNE9,RING,RING,0.0367,1.1,Switched memory B-cell,B-cells,3.585,1.0,0.6435,3.8373
FBXO36,ENSG00000153832,130888,Q8NEA4,CRL1,CRL1 substrate receptor (F-box protein),2.4333,7.7,naive CD8 T-cell,T-cells,1.7298,0.7076,0.8619,3.8199
ITCH,ENSG00000078747,83737,Q96J02,HECT,HECT E3 ligase,47.78,97.8,neutrophil,granulocytes,1.0848,0.5291,0.5189,3.8033
ZYG11A,ENSG00000203995,440590,Q6WRX3,CRL2,CRL2 substrate receptor (BC-CUL2-box),1.4267,5.2,neutrophil,granulocytes,1.9241,0.7507,0.7676,3.802
FBXO15,ENSG00000141665,201456,Q8NCQ5,CRL1,CRL1 substrate receptor (F-box protein),0.48,2.6,T-reg,T-cells,2.4132,0.8435,1.4631,3.7617
RMND5B,ENSG00000145916,64777,Q96G75,degenerate RING,Degenerate RING,25.7933,55.5,Plasmablast,B-cells,1.1607,0.5537,0.6442,3.7407
RNF212,ENSG00000178222,285498,Q495C1,RING,RING,1.73,5.9,naive CD8 T-cell,T-cells,1.8312,0.7312,1.2164,3.7309
AMBRA1,ENSG00000110497,55626,Q9C0C7,CRL4,CRL4 substrate receptor (DDB1-binding protein),21.6067,47.2,basophil,granulocytes,1.1836,0.5609,0.4555,3.7119
WDSUB1,ENSG00000196151,151525,Q8N9V3,degenerate RING,Degenerate RING (U-box),27.73,58.9,naive B-cell,B-cells,1.1409,0.5475,0.8155,3.6878
UBE4B,ENSG00000130939,10277,O95155,degenerate RING,Degenerate RING (U-box),22.13,48.0,neutrophil,granulocytes,1.1726,0.5575,0.3187,3.6708
MARCHF5,ENSG00000198060,54708,Q9NX47,RING,RING,28.5033,60.2,neutrophil,granulocytes,1.1322,0.5447,0.2969,3.6603
RNF40,ENSG00000103549,9810,O75150,RING,RING,72.01,140.5,neutrophil,granulocytes,1.0114,0.5043,0.3358,3.6439
RLIM,ENSG00000131263,51132,Q9NVW2,RING,RING,29.05,61.1,neutrophil,granulocytes,1.1258,0.5426,0.4063,3.6388
FBXL19,ENSG00000099364,54620,Q6PCT2,CRL1,CRL1 substrate receptor (F-box protein),2.0233,6.5,Progenitor cell,Progenitors,1.745,0.7125,1.383,3.6141
RNF125,ENSG00000101695,54941,Q96EQ8,RING,RING,19.7267,42.8,basophil,granulocytes,1.1726,0.5577,1.0269,3.5659
SOCS5,ENSG00000171150,9655,O75159,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),9.6533,22.8,Progenitor cell,Progenitors,1.3,0.5965,0.5568,3.5461
DCAF4L1,ENSG00000182308,285429,Q3SXM0,CRL4,CRL4 substrate receptor (DDB1-binding protein),0.89,3.6,neutrophil,granulocytes,2.0451,0.7787,0.9731,3.5062
RNF17,ENSG00000132972,56163,Q9BXT8,RING,RING,0.4933,2.5,Terminal effector memory CD8 T-cell,T-cells,2.3105,0.8303,1.3429,3.4674
WSB2,ENSG00000176871,55884,Q9NYS7,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),13.0833,29.4,neutrophil,granulocytes,1.2249,0.5741,0.6425,3.4643
RNF43,ENSG00000108375,54894,Q68DV7,RING,RING,4.0,10.7,NK-cell,NK-cells,1.481,0.6478,1.0231,3.4042
MEX3A,ENSG00000254726,92312,A1L020,RING,RING,0.0367,1.0,Progenitor cell,Progenitors,3.4105,0.9966,0.6404,3.3988
FBXO27,ENSG00000161243,126433,Q8NI29,CRL1,CRL1 substrate receptor (F-box protein),8.7567,20.5,neutrophil,granulocytes,1.2853,0.5926,0.5019,3.3714
DCAF5,ENSG00000139990,8816,Q96JK2,CRL4,CRL4 substrate receptor (DDB1-binding protein),83.1067,155.6,Terminal effector memory CD4 T-cell,T-cells,0.948,0.482,0.7599,3.3312
RFPL1,ENSG00000128250,5988,O75677,RING,RING,0.5167,2.5,non-classical monocyte,monocytes,2.2455,0.8207,1.4457,3.3308
SPSB1,ENSG00000171621,80176,Q96BD6,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),2.0367,6.2,basophil,granulocytes,1.6603,0.6947,1.5947,3.2848
HERC6,ENSG00000138642,55008,Q8IVU3,HECT,HECT E3 ligase,37.0533,73.2,neutrophil,granulocytes,1.0296,0.5108,0.844,3.2678
NEDD4L,ENSG00000049759,23327,Q96PU5,HECT,HECT E3 ligase,1.83,5.7,Switched memory B-cell,B-cells,1.6908,0.7024,1.0967,3.2589
KCTD3,ENSG00000136636,51133,Q9Y597,CRL3,CRL3 substrate receptor (BTB protein),4.3,11.1,Progenitor cell,Progenitors,1.4269,0.6337,0.5987,3.2527
KLHL28,ENSG00000179454,54813,Q9NXS3,CRL3,CRL3 substrate receptor (BTB protein),91.5633,168.5,MAIT T-cell,T-cells,0.9216,0.4723,0.5591,3.2234
SCAF11,ENSG00000139218,9169,Q99590,RING,RING,126.9733,228.9,neutrophil,granulocytes,0.8902,0.4606,0.3142,3.2167
HECW1,ENSG00000002746,23072,Q76N89,HECT,HECT E3 ligase,6.3667,15.3,neutrophil,granulocytes,1.3223,0.604,0.5374,3.216
DCAF4,ENSG00000119599,26094,Q8WV16,CRL4,CRL4 substrate receptor (DDB1-binding protein),16.0867,34.2,naive B-cell,B-cells,1.1402,0.5479,0.8119,3.2094
MSL2,ENSG00000174579,55167,Q9HCI7,RING,RING,39.2967,76.6,neutrophil,granulocytes,1.009,0.5038,0.5383,3.1913
KLHL10,ENSG00000161594,317719,Q6JEL2,CRL3,CRL3 substrate receptor (BTB protein),0.1633,1.4,Vd2 gdTCR,T-cells,2.7649,0.9138,1.1942,3.1911
KCTD13,ENSG00000174943,253980,Q8WZ19,CRL3,CRL3 substrate receptor (BTB protein),20.78,42.9,neutrophil,granulocytes,1.0959,0.5334,0.3166,3.1894
PELI3,ENSG00000174516,246330,Q8N2H9,degenerate RING,Degenerate RING,3.88,10.1,non-classical monocyte,monocytes,1.4376,0.6371,0.9394,3.1804
BARD1,ENSG00000138376,580,Q99728,RING,RING,10.5233,23.4,Plasmablast,B-cells,1.207,0.5693,1.0855,3.1668
KLHL15,ENSG00000174010,80311,Q96M94,CRL3,CRL3 substrate receptor (BTB protein),7.75,17.9,non-classical monocyte,monocytes,1.263,0.5866,0.6077,3.1416
TRIM47,ENSG00000132481,91107,Q96LD4,RING,RING,1.5333,4.9,Memory CD4 T-cell TFH,T-cells,1.7205,0.7108,1.5275,3.1314
DET1,ENSG00000140543,55070,Q7L5Y6,CRL4,CRL4 substrate receptor (DDB1-binding protein),3.6333,9.5,myeloid DC,dendritic cells,1.4429,0.6388,0.887,3.1271
ANAPC11,ENSG00000141552,51529,Q9NYG5,degenerate RING,Degenerate RING,36.32,70.7,plasmacytoid DC,dendritic cells,1.0068,0.503,0.4129,3.1217
ASB14,ENSG00000239388,142686,A6NK59,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),1.6267,5.1,naive B-cell,B-cells,1.6942,0.7045,0.8132,3.114
FBXO46,ENSG00000177051,23403,Q6PJ61,CRL1,CRL1 substrate receptor (F-box protein),11.5633,25.2,naive CD4 T-cell,T-cells,1.1765,0.5598,0.5739,3.1031
TRIM24,ENSG00000122779,8805,O15164,RING,RING,8.08,18.4,Progenitor cell,Progenitors,1.2415,0.5802,0.4778,3.0816
VPS18,ENSG00000104142,57617,Q9P253,RING,RING,30.8133,60.5,neutrophil,granulocytes,1.0197,0.5076,0.4721,3.0758
MDM4,ENSG00000198625,4194,O15151,RING,RING,113.6067,203.1,naive B-cell,B-cells,0.8773,0.4558,0.3686,3.0684
RNF227,ENSG00000179859,284023,A6NIN4,RING,RING,11.05,24.1,basophil,granulocytes,1.1774,0.5602,0.7275,3.0666
CGRRF1,ENSG00000100532,10668,Q99675,RING,RING,31.9,62.3,basophil,granulocytes,1.0115,0.5048,0.3664,3.0555
FBXL18,ENSG00000155034,80028,Q96ME1,CRL1,CRL1 substrate receptor (F-box protein),10.4433,22.9,neutrophil,granulocytes,1.1853,0.5627,0.3592,3.0541
ASB18,ENSG00000182177,401036,Q6ZVZ8,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),0.3133,1.8,neutrophil,granulocytes,2.3917,0.8544,0.6849,3.0354
ATG16L1,ENSG00000085978,55054,Q676U5,CRL4,CRL4 substrate receptor (DDB1-binding protein),11.92,25.6,Terminal effector memory CD4 T-cell,T-cells,1.1541,0.5528,0.6308,3.0198
TRIM11,ENSG00000154370,81559,Q96F44,RING,RING,37.4667,71.9,neutrophil,granulocytes,0.9849,0.4954,0.3724,3.0192
RNF38,ENSG00000137075,152006,Q9H0F5,RING,RING,46.82,88.1,neutrophil,granulocytes,0.955,0.4847,0.3488,2.9985
UBE2O,ENSG00000175931,63893,Q9C0C9,atypical,Atypical E3 (E2/E3 hybrid),11.8533,25.4,naive B-cell,B-cells,1.1506,0.5517,0.4796,2.9979
KCTD17,ENSG00000100379,79734,Q8N5Z5,CRL3,CRL3 substrate receptor (BTB protein),3.1067,8.2,myeloid DC,dendritic cells,1.4533,0.6426,1.2691,2.9898
FBXL16,ENSG00000127585,146330,Q8N461,CRL1,CRL1 substrate receptor (F-box protein),0.74,2.9,naive CD4 T-cell,T-cells,1.9705,0.7705,1.7276,2.9811
LRRC42,ENSG00000116212,115353,Q9Y546,CRL2,CRL2 substrate receptor (BC-CUL2-box),12.3167,26.2,Plasmablast,B-cells,1.1395,0.5482,0.5475,2.9768
DZIP3,ENSG00000198919,9666,Q86Y13,RING,RING,25.03,49.4,Memory CD4 T-cell TFH,T-cells,1.0271,0.5103,1.03,2.9643
ASB7,ENSG00000183475,140460,Q9H672,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),22.9367,45.6,neutrophil,granulocytes,1.0381,0.5141,0.3512,2.9579
TRAIP,ENSG00000183763,10293,Q9BWF2,RING,RING,3.5667,9.1,Plasmablast,B-cells,1.4043,0.629,0.7529,2.947
XIAP,ENSG00000101966,331,P98170,RING,RING,36.86,70.2,basophil,granulocytes,0.9731,0.4913,0.4309,2.9422
WDR1,ENSG00000071127,9948,O75083,CRL4,CRL4 substrate receptor (DDB1-binding protein),340.1233,567.7,plasmacytoid DC,dendritic cells,0.7726,0.4147,0.4641,2.932
HECTD4,ENSG00000173064,283450,Q9Y4D8,HECT,HECT E3 ligase,3.8233,9.6,naive B-cell,B-cells,1.3811,0.6225,0.4515,2.9281
FBXO25,ENSG00000147364,26260,Q8TCJ0,CRL1,CRL1 substrate receptor (F-box protein),20.37,40.6,Plasmablast,B-cells,1.0415,0.5155,0.882,2.8876
RAB40B,ENSG00000141542,10966,Q12829,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),2.6033,7.0,plasmacytoid DC,dendritic cells,1.4763,0.6498,0.6965,2.8778
MARCHF9,ENSG00000139266,92979,Q86YJ5,RING,RING,11.33,24.0,Switched memory B-cell,B-cells,1.1324,0.5461,1.7062,2.872
SMURF2,ENSG00000108854,64750,Q9HAU4,HECT,HECT E3 ligase,7.7333,17.2,Terminal effector memory CD4 T-cell,T-cells,1.2045,0.5694,0.5811,2.8706
LRRC41,ENSG00000132128,10489,Q15345,CRL5,CRL5 substrate receptor (BC-box protein with CUL5 box),65.4267,118.2,Progenitor cell,Progenitors,0.8929,0.4619,0.6904,2.8445
DTX1,ENSG00000135144,1840,Q86Y01,RING,RING,0.0733,1.0,naive B-cell,B-cells,2.9599,0.9586,0.8684,2.8374
MED8,ENSG00000159479,112950,Q96G25,CRL2,CRL2 substrate receptor (BC-CUL2-box),50.39,92.4,Plasmablast,B-cells,0.9155,0.4703,0.3759,2.8182
RNF138,ENSG00000134758,51444,Q8WVD3,RING,RING,128.46,221.7,naive CD8 T-cell,T-cells,0.8234,0.4351,0.4038,2.7937
FBXL6,ENSG00000182325,26233,Q8N531,CRL1,CRL1 substrate receptor (F-box protein),0.5033,2.2,Plasmablast,B-cells,2.0778,0.7978,1.148,2.7817
WDR70,ENSG00000082068,55100,Q9NW82,CRL4,CRL4 substrate receptor (DDB1-binding protein),25.8367,49.7,plasmacytoid DC,dendritic cells,0.9877,0.4967,0.6435,2.7786
